,forecast
2024-06-30,26.72
2024-07-01,26.65952529603945
2024-07-02,25.30232942601586
2024-07-03,25.636869560512995
2024-07-04,26.93498225156474
2024-07-05,27.60372421627048
2024-07-06,29.81124717420901
2024-07-07,29.06218379093609
2024-07-08,28.972297503843286
2024-07-09,28.377263080203278
2024-07-10,27.229584653319037
2024-07-11,24.761325677649786
2024-07-12,23.795509639611502
2024-07-13,23.876920111175064
2024-07-14,22.894074621064824
2024-07-15,22.687981306812667
2024-07-16,23.249854847564542
2024-07-17,23.800771858111453
2024-07-18,23.920084938544566
2024-07-19,22.891296841723044
2024-07-20,23.93417193266753
2024-07-21,23.713529901309997
2024-07-22,22.314095726042105
2024-07-23,21.642008822127753
2024-07-24,20.641750045234875
2024-07-25,20.672325191645136
2024-07-26,21.668472362512176
2024-07-27,22.981872812846618
2024-07-28,23.399644044274062
2024-07-29,23.86187189262255
2024-07-30,25.146530513701364
2024-07-31,25.886674165682056
2024-08-01,25.51737135522663
